timestamp,temperatura_C,humedad_pct,voltaje_bateria_V,rssi_dbm
2026-09-01 00:00:00,11.2,76.1,3.55,-62
2026-09-01 00:15:00,12.4,78.9,3.54,-62
2026-09-01 00:30:00,12.8,76.5,3.53,-60
2026-09-01 00:45:00,12.9,83.6,3.59,-63
2026-09-01 01:00:00,12.1,79.4,3.51,-62
2026-09-01 01:15:00,10.7,80.7,3.58,-69
2026-09-01 01:30:00,11.2,82.3,3.54,-59
2026-09-01 01:45:00,11.3,84.5,3.6,-59
2026-09-01 02:00:00,11.1,80.4,3.62,-61
2026-09-01 02:15:00,11.1,85.5,3.59,-63
2026-09-01 02:30:00,10.5,81.7,3.65,-64
2026-09-01 02:45:00,10.6,82.8,3.65,-64
2026-09-01 03:00:00,9.8,85.5,3.64,-71
2026-09-01 03:15:00,11.7,81.1,3.7,-58
2026-09-01 03:30:00,10.9,82.8,3.66,-65
2026-09-01 03:45:00,11.5,83.4,3.69,-61
2026-09-01 04:00:00,11.4,82.2,3.67,-60
2026-09-01 04:15:00,11.2,80.4,3.69,-65
2026-09-01 04:30:00,11.1,85.7,3.77,-62
2026-09-01 04:45:00,11.7,86.3,3.74,-53
2026-09-01 05:00:00,11.5,79.3,3.74,-63
2026-09-01 05:15:00,11.8,79.2,3.87,-65
2026-09-01 05:30:00,12.3,79.9,3.84,-61
2026-09-01 05:45:00,13.0,80.1,3.86,-67
2026-09-01 06:00:00,13.1,76.0,3.85,-62
2026-09-01 06:15:00,12.9,80.0,3.85,-58
2026-09-01 06:30:00,13.6,77.3,3.84,-65
2026-09-01 06:45:00,13.6,74.4,3.95,-55
2026-09-01 07:00:00,12.9,75.6,3.89,-64
2026-09-01 07:15:00,14.1,68.8,3.97,-54
2026-09-01 07:30:00,13.4,68.5,3.98,-63
2026-09-01 07:45:00,16.0,66.1,3.93,-70
2026-09-01 08:00:00,16.2,72.8,4.03,-69
2026-09-01 08:15:00,16.7,69.6,4.01,-62
2026-09-01 08:30:00,15.6,69.4,4.01,-72
2026-09-01 08:45:00,16.8,64.3,3.99,-71
2026-09-01 09:00:00,17.4,62.6,4.1,-60
2026-09-01 09:15:00,16.3,66.0,4.09,-62
2026-09-01 09:30:00,17.6,64.9,4.08,-66
2026-09-01 09:45:00,18.4,66.2,4.06,-66
2026-09-01 10:00:00,18.3,63.3,4.1,-67
2026-09-01 10:15:00,18.7,58.4,4.12,-60
2026-09-01 10:30:00,19.2,58.7,4.17,-64
2026-09-01 10:45:00,19.1,57.5,4.16,-61
2026-09-01 11:00:00,19.2,59.4,4.11,-69
2026-09-01 11:15:00,20.4,51.7,4.12,-59
2026-09-01 11:30:00,20.7,55.4,4.14,-64
2026-09-01 11:45:00,20.2,52.6,4.18,-64
2026-09-01 12:00:00,20.7,52.4,4.18,-60
2026-09-01 12:15:00,21.3,50.5,4.15,-58
2026-09-01 12:30:00,20.8,48.1,4.09,-53
2026-09-01 12:45:00,22.8,49.2,4.12,-62
2026-09-01 13:00:00,22.6,45.5,4.14,-62
2026-09-01 13:15:00,22.9,44.5,4.12,-62
2026-09-01 13:30:00,21.9,49.0,4.16,-64
2026-09-01 13:45:00,23.4,50.0,4.09,-62
2026-09-01 14:00:00,22.5,50.5,4.09,-71
2026-09-01 14:15:00,22.0,49.6,4.08,-66
2026-09-01 14:30:00,23.5,48.4,4.15,-65
2026-09-01 14:45:00,22.1,46.9,4.05,-69
2026-09-01 15:00:00,22.7,47.3,4.05,-66
2026-09-01 15:15:00,23.2,47.1,4.04,-58
2026-09-01 15:30:00,23.2,46.3,4.0,-63
2026-09-01 15:45:00,24.0,46.7,3.98,-60
2026-09-01 16:00:00,23.4,44.6,3.96,-59
2026-09-01 16:15:00,21.6,46.8,4.03,-60
2026-09-01 16:30:00,22.0,47.7,4.02,-77
2026-09-01 16:45:00,22.0,47.5,3.95,-61
2026-09-01 17:00:00,22.3,46.8,3.93,-63
2026-09-01 17:15:00,21.7,50.6,3.95,-64
2026-09-01 17:30:00,21.7,50.1,3.87,-57
2026-09-01 17:45:00,20.2,47.0,3.88,-56
2026-09-01 18:00:00,21.9,52.4,3.85,-69
2026-09-01 18:15:00,20.6,55.6,3.83,-58
2026-09-01 18:30:00,19.9,55.4,3.81,-60
2026-09-01 18:45:00,20.1,54.3,3.79,-54
2026-09-01 19:00:00,20.1,53.7,3.8,-52
2026-09-01 19:15:00,19.5,53.8,3.73,-69
2026-09-01 19:30:00,18.4,56.1,3.67,-63
2026-09-01 19:45:00,19.6,62.0,3.73,-61
2026-09-01 20:00:00,18.3,56.6,3.65,-70
2026-09-01 20:15:00,17.7,59.6,3.69,-64
2026-09-01 20:30:00,17.7,66.2,3.69,-65
2026-09-01 20:45:00,17.4,61.3,3.64,-62
2026-09-01 21:00:00,17.2,60.4,3.62,-55
2026-09-01 21:15:00,17.7,62.4,3.59,-63
2026-09-01 21:30:00,15.0,64.6,3.59,-55
2026-09-01 21:45:00,15.7,70.1,3.61,-65
2026-09-01 22:00:00,15.0,76.8,3.58,-57
2026-09-01 22:15:00,15.0,73.9,3.56,-63
2026-09-01 22:30:00,15.0,69.8,3.59,-65
2026-09-01 22:45:00,14.7,75.2,3.54,-65
2026-09-01 23:00:00,13.4,74.8,3.59,-62
2026-09-01 23:15:00,13.0,78.0,3.54,-76
2026-09-01 23:30:00,13.6,73.6,3.56,-64
2026-09-01 23:45:00,13.3,75.0,3.58,-76
2026-09-02 00:00:00,12.5,75.3,3.53,-75
2026-09-02 00:15:00,12.9,80.8,3.6,-90
2026-09-02 00:30:00,11.7,81.0,3.56,-87
2026-09-02 00:45:00,11.4,80.7,3.55,-89
2026-09-02 01:00:00,11.5,81.0,3.53,-85
2026-09-02 01:15:00,10.8,81.5,3.51,-89
2026-09-02 01:30:00,10.7,83.9,3.63,-84
2026-09-02 01:45:00,11.4,84.1,3.6,-79
2026-09-02 02:00:00,12.4,81.1,3.61,-74
2026-09-02 02:15:00,11.3,80.5,3.57,-68
2026-09-02 02:30:00,12.0,83.5,3.62,-75
2026-09-02 02:45:00,11.1,83.4,3.61,-67
2026-09-02 03:00:00,11.0,85.2,3.58,-58
2026-09-02 03:15:00,10.1,83.0,3.7,-63
2026-09-02 03:30:00,11.8,84.5,3.61,-61
2026-09-02 03:45:00,11.5,81.6,3.79,-53
2026-09-02 04:00:00,12.2,80.5,3.68,-64
2026-09-02 04:15:00,12.3,83.4,3.75,-61
